service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20200105,20200425
2,0,0,0,0,0,1,0,20200105,20200425
3,0,0,0,0,0,0,1,20200105,20200425
74,0,0,0,0,0,0,0,20200105,20200425
75,0,0,0,0,0,0,0,20200105,20200425
76,0,0,0,0,0,0,0,20200105,20200425
80,1,0,0,0,0,0,0,20200216,20200218
81,0,0,0,0,1,0,0,20200409,20200411
82,0,0,0,0,0,0,0,20200105,20200425
2461101,0,0,0,0,0,0,0,20200105,20200425
2711801,0,0,0,0,0,0,0,20200105,20200425
2461001,0,0,0,0,0,0,0,20200105,20200425
