service_id,date,exception_type
2461101,20200106,1
2711801,20200106,1
2461001,20200106,1
2461101,20200107,1
2711801,20200107,1
2461001,20200107,1
2461101,20200108,1
2711801,20200108,1
2461001,20200108,1
2461101,20200109,1
2711801,20200109,1
2461001,20200109,1
2461101,20200110,1
2711801,20200110,1
2461001,20200110,1
2461101,20200113,1
2711801,20200113,1
2461001,20200113,1
2461101,20200114,1
2711801,20200114,1
2461001,20200114,1
2461101,20200115,1
2711801,20200115,1
2461001,20200115,1
2461101,20200116,1
2711801,20200116,1
2461001,20200116,1
2461101,20200117,1
2711801,20200117,1
2461001,20200117,1
2461101,20200120,1
2711801,20200120,1
2461001,20200120,1
2461101,20200121,1
2711801,20200121,1
2461001,20200121,1
2461101,20200122,1
2711801,20200122,1
2461001,20200122,1
2461101,20200123,1
2711801,20200123,1
2461001,20200123,1
2461101,20200124,1
2711801,20200124,1
2461001,20200124,1
2461101,20200127,1
2711801,20200127,1
2461001,20200127,1
2461101,20200128,1
2711801,20200128,1
2461001,20200128,1
2461101,20200129,1
2711801,20200129,1
2461001,20200129,1
2461101,20200130,1
2711801,20200130,1
2461001,20200130,1
2461101,20200203,1
2711801,20200203,1
2461001,20200203,1
2461101,20200204,1
2711801,20200204,1
2461001,20200204,1
2461101,20200205,1
2711801,20200205,1
2461001,20200205,1
2461101,20200206,1
2711801,20200206,1
2461001,20200206,1
2461101,20200207,1
2711801,20200207,1
2461001,20200207,1
2461101,20200210,1
2711801,20200210,1
2461001,20200210,1
2461101,20200211,1
2711801,20200211,1
2461001,20200211,1
2461101,20200212,1
2711801,20200212,1
2461001,20200212,1
2461101,20200213,1
2711801,20200213,1
2461001,20200213,1
2461101,20200214,1
2711801,20200214,1
2461001,20200214,1
80,20200217,1
1,20200217,2
2461101,20200218,1
2711801,20200218,1
2461001,20200218,1
2461101,20200219,1
2711801,20200219,1
2461001,20200219,1
2461101,20200220,1
2711801,20200220,1
2461001,20200220,1
2461101,20200221,1
2711801,20200221,1
2461001,20200221,1
2461101,20200224,1
2711801,20200224,1
2461001,20200224,1
2461101,20200225,1
2711801,20200225,1
2461001,20200225,1
2461101,20200226,1
2711801,20200226,1
2461001,20200226,1
2461101,20200227,1
2711801,20200227,1
2461001,20200227,1
2461101,20200228,1
2711801,20200228,1
2461001,20200228,1
2461101,20200302,1
2711801,20200302,1
2461001,20200302,1
2461101,20200303,1
2711801,20200303,1
2461001,20200303,1
2461101,20200304,1
2711801,20200304,1
2461001,20200304,1
2461101,20200305,1
2711801,20200305,1
2461001,20200305,1
2461101,20200306,1
2711801,20200306,1
2461001,20200306,1
2461101,20200309,1
2711801,20200309,1
2461001,20200309,1
2461101,20200310,1
2711801,20200310,1
2461001,20200310,1
2461101,20200311,1
2711801,20200311,1
2461001,20200311,1
2461101,20200312,1
2711801,20200312,1
2461001,20200312,1
2461101,20200313,1
2711801,20200313,1
2461001,20200313,1
2461101,20200323,1
2711801,20200323,1
2461001,20200323,1
2461101,20200324,1
2711801,20200324,1
2461001,20200324,1
2461101,20200325,1
2711801,20200325,1
2461001,20200325,1
2461101,20200326,1
2711801,20200326,1
2461001,20200326,1
2461101,20200327,1
2711801,20200327,1
2461001,20200327,1
2461101,20200330,1
2711801,20200330,1
2461001,20200330,1
2461101,20200331,1
2711801,20200331,1
2461001,20200331,1
2461101,20200401,1
2711801,20200401,1
2461001,20200401,1
2461101,20200402,1
2711801,20200402,1
2461001,20200402,1
2461101,20200403,1
2711801,20200403,1
2461001,20200403,1
2461101,20200406,1
2711801,20200406,1
2461001,20200406,1
2461101,20200407,1
2711801,20200407,1
2461001,20200407,1
2461101,20200408,1
2711801,20200408,1
2461001,20200408,1
2461101,20200409,1
2711801,20200409,1
2461001,20200409,1
81,20200410,1
1,20200410,2
2461101,20200414,1
2711801,20200414,1
2461001,20200414,1
2461101,20200415,1
2711801,20200415,1
2461001,20200415,1
2461101,20200416,1
2711801,20200416,1
2461001,20200416,1
2461101,20200417,1
2711801,20200417,1
2461001,20200417,1
2461101,20200420,1
2711801,20200420,1
2461001,20200420,1
2461101,20200421,1
2711801,20200421,1
2461001,20200421,1
2461101,20200422,1
2711801,20200422,1
2461001,20200422,1
2461101,20200423,1
2711801,20200423,1
2461001,20200423,1
2461101,20200424,1
2711801,20200424,1
2461001,20200424,1
