route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,YRT,1,HIGHWAY 7,,3,,49706F,FFFFFF
2,YRT,2,MILLIKEN,,3,,C49F08,FFFFFF
3,YRT,3,THORNHILL,,3,,A54785,FFFFFF
4,YRT,4,MAJOR MACKENZIE,,3,,0057A7,FFFFFF
4001,YRT,004A,MAJOR MACKENZIE,,3,,0057A7,FFFFFF
5,YRT,5,CLARK,,3,,49706F,FFFFFF
7,YRT,7,MARTIN GROVE,,3,,0057A7,FFFFFF
8,YRT,8,KENNEDY,,3,,2B2A87,FFFFFF
9,YRT,9,9TH LINE,,3,,F68121,FFFFFF
10,YRT,10,WOODBRIDGE,,3,,01A78F,FFFFFF
12,YRT,12,PINE VALLEY,,3,,6CC06A,FFFFFF
13,YRT,13,ISLINGTON,,3,,A17D7D,FFFFFF
14,YRT,14,14TH AVENUE,,3,,65A7BD,FFFFFF
15,YRT,15,STOUFFVILLE,,3,,65A7BD,FFFFFF
16,YRT,16,16TH AVENUE,,3,,4A6CB3,FFFFFF
18,YRT,18,BUR OAK,,3,,6CC06A,FFFFFF
20,YRT,20,JANE,,3,,7F6951,FFFFFF
21,YRT,21,VELLORE LOCAL,,3,,00848B,FFFFFF
22,YRT,22,KING CITY,,3,,486F6E,FFFFFF
23,YRT,23,THORNHILL WOODS,,3,,FDB813,FFFFFF
24,YRT,24,WOODBINE AVENUE,,3,,FDB813,FFFFFF
25,YRT,25,MAJOR MACKENZIE,,3,,BE5B60,FFFFFF
26,YRT,26,MAPLE,,3,,3FC8F4,FFFFFF
28,YRT,28,HUNTINGTON,,3,,DD62A5,FFFFFF
31,YRT,31,AURORA NORTH,,3,,C5A009,FFFFFF
32,YRT,32,AURORA SOUTH,,3,,0056A6,FFFFFF
33,YRT,33,WELLINGTON,,3,,01B4CA,FFFFFF
3301,YRT,033A,WELLINGTON,,3,,01B4CA,FFFFFF
40,YRT,40,UNIONVILLE LOCAL,,3,,806B50,FFFFFF
41,YRT,41,MARKHAM LOCAL,,3,,CC8B51,FFFFFF
42,YRT,42,BERCZY,,3,,01BBE1,FFFFFF
44,YRT,44,BRISTOL,,3,,66A6BF,FFFFFF
45,YRT,45,MINGAY,,3,,EA77B0,FFFFFF
50,YRT,50,QUEENSWAY,,3,,674287,FFFFFF
51,YRT,51,KESWICK LOCAL,,3,,DD62A5,FFFFFF
52,YRT,52,HOLLAND LANDING,,3,,A64686,FFFFFF
54,YRT,54,BAYVIEW,,3,,806B50,FFFFFF
55,YRT,55,DAVIS DRIVE,,3,,0157AA,FFFFFF
5502,YRT,055B,DAVIS DRIVE,,3,,0157AA,FFFFFF
56,YRT,56,GORHAM - EAGLE,,3,,FCB134,FFFFFF
57,YRT,57,MULOCK,,3,,00ACF0,FFFFFF
5701,YRT,057A,MULOCK,,3,,00ACF0,FFFFFF
58,YRT,58,MOUNT ALBERT,,3,,B71954,FFFFFF
77,YRT,77,HIGHWAY 7,,3,,00AEED,FFFFFF
7701,YRT,077A,HIGHWAY 7,,3,,00AEED,FFFFFF
80,YRT,80,ELGIN MILLS,,3,,805D95,FFFFFF
81,YRT,81,INSPIRATION,,3,,806B50,FFFFFF
82,YRT,82,VALLEYMEDE,,3,,0094DA,FFFFFF
83,YRT,83,TRENCH,,3,,70BF42,FFFFFF
